ang,QWP0
0,0.756221241
1,0.750137202
2,0.745675643
3,0.7425805089999999
4,0.742019329
5,0.74417633
6,0.7475576709999999
7,0.753052707
8,0.761134026
9,0.7704579039999999
10,0.781904964
11,0.7947541309999999
12,0.80918672
13,0.825951225
14,0.844896655
15,0.864443835
16,0.884998823
17,0.907705049
18,0.9312579059999999
19,0.956117641
20,0.981459511
21,1.00797671
22,1.03474897
23,1.06378121
24,1.09240087
25,1.12054578
26,1.1483440200000001
27,1.17680978
28,1.2065131500000001
29,1.2376173400000001
30,1.26628473
31,1.2934219599999999
32,1.31995126
33,1.3474206199999998
34,1.3743662300000001
35,1.40040414
36,1.42396986
37,1.4462515200000001
38,1.4675655399999998
39,1.48772995
40,1.5061093700000001
41,1.52292324
42,1.53863057
43,1.55222311
44,1.56438781
45,1.57320593
46,1.5821722299999998
47,1.58875796
48,1.5936601000000001
49,1.59553287
50,1.5960928300000001
51,1.5943171500000002
52,1.5913487899999998
53,1.58541068
54,1.5790522999999999
55,1.5694061300000002
56,1.55857147
57,1.54747872
58,1.53341587
59,1.5186012
60,1.4999610099999998
61,1.4823606500000002
62,1.4629141700000001
63,1.4439309
64,1.42067159
65,1.39692728
66,1.3729338500000001
67,1.34904566
68,1.3243075199999998
69,1.2988993
70,1.27126055
71,1.2454082
72,1.21903641
73,1.19335542
74,1.16678374
75,1.14016118
76,1.11520302
77,1.0920522000000001
78,1.06821943
79,1.04447687
80,1.0208453800000001
81,0.9989811810000001
82,0.9799554250000001
83,0.960680423
84,0.943795196
85,0.926466077
86,0.911644194
87,0.8989640050000001
88,0.887673348
89,0.877712271
90,0.869155279
91,0.862734916
92,0.858747866
93,0.855708495
94,0.854913087
95,0.855560298
96,0.859108113
97,0.863580499
98,0.8699498139999999
99,0.878421008
100,0.888281094
101,0.900714542
102,0.91336784
103,0.9281518870000001
104,0.943748455
105,0.9626583200000001
106,0.982643454
107,1.00209378
108,1.02254481
109,1.0438984
110,1.06736529
111,1.0934197300000001
112,1.11925229
113,1.14377146
114,1.16934301
115,1.19498523
116,1.22195273
117,1.24977913
118,1.2748267
119,1.2995862599999999
120,1.32511964
121,1.3509939899999999
122,1.3743395699999998
123,1.39683287
124,1.4183739
125,1.44046324
126,1.46197015
127,1.48090685
128,1.49815122
129,1.51429733
130,1.52878393
131,1.54286099
132,1.55512569
133,1.5646071400000001
134,1.57203432
135,1.5794575400000002
136,1.58377399
137,1.58673455
138,1.58748892
139,1.58582861
140,1.5831154299999999
141,1.5774355299999998
142,1.57079147
143,1.56179245
144,1.55194849
145,1.5387712
146,1.5247357099999999
147,1.50817144
148,1.49120239
149,1.47254718
150,1.45278324
151,1.43045234
152,1.40728359
153,1.3817579
154,1.35841477
155,1.33205042
156,1.30428304
157,1.2769784100000001
158,1.2488137
159,1.22129393
160,1.19344937
161,1.16400712
162,1.13414857
163,1.10435358
164,1.07754674
165,1.0501596800000002
166,1.0229234999999999
167,0.9958349400000001
168,0.9685216360000001
169,0.942622428
170,0.920306426
171,0.897221209
172,0.8750142879999999
173,0.853719423
174,0.835185288
175,0.817915658
176,0.802968978
177,0.788774516
178,0.775580178
179,0.764395867
180,0.755682646
181,0.7492282309999999
182,0.7447682440000001
183,0.742070086
184,0.741307973
185,0.742173579
186,0.745826459
187,0.750357984
188,0.757897273
189,0.767433026
190,0.778389047
191,0.7911654539999999
192,0.804966607
193,0.8220392630000001
194,0.839925429
195,0.858501357
196,0.878337072
197,0.901631312
198,0.925822475
199,0.950511836
200,0.974195427
201,0.999907148
202,1.0272555499999998
203,1.05579337
204,1.0848360799999999
205,1.11330883
206,1.14069763
207,1.16964872
208,1.1987753700000001
209,1.22828863
210,1.2563406499999998
211,1.28404703
212,1.3117115000000001
213,1.3388812099999998
214,1.36582553
215,1.3900350300000002
216,1.4134406800000001
217,1.43539626
218,1.45824719
219,1.47919776
220,1.49865996
221,1.51504634
222,1.53080758
223,1.54493167
224,1.55747298
225,1.5681629300000002
226,1.57746265
227,1.58431497
228,1.58836483
229,1.59172236
230,1.5929928
231,1.59192365
232,1.58971653
233,1.58489216
234,1.5782123700000001
235,1.5702797099999999
236,1.55930012
237,1.5481873400000001
238,1.5355678000000001
239,1.51995977
240,1.50404871
241,1.48502574
242,1.46603794
243,1.44654734
244,1.42614881
245,1.40008319
246,1.37696846
247,1.35397655
248,1.32789032
249,1.30218093
250,1.27741485
251,1.25003711
252,1.2241413399999999
253,1.19923882
254,1.17191288
255,1.1448665800000002
256,1.11820188
257,1.09386118
258,1.07064622
259,1.04702485
260,1.02316123
261,1.0012635
262,0.9799600810000001
263,0.961278216
264,0.943179824
265,0.925389235
266,0.910086499
267,0.896986923
268,0.885353656
269,0.874940131
270,0.8662489710000001
271,0.859034015
272,0.854183047
273,0.850758632
274,0.849700416
275,0.850449374
276,0.8528984620000001
277,0.8570017529999999
278,0.862255227
279,0.870152202
280,0.879239
281,0.891858654
282,0.904871908
283,0.919225218
284,0.934404787
285,0.9515971179999999
286,0.971148256
287,0.9919229199999999
288,1.01296592
289,1.03379693
290,1.05696009
291,1.08300068
292,1.1077264800000002
293,1.1321541400000001
294,1.1581779700000001
295,1.18404697
296,1.2114931599999998
297,1.2381495900000001
298,1.2645843700000001
299,1.2898665200000001
300,1.3149545999999999
301,1.34117668
302,1.36462017
303,1.38773234
304,1.40877673
305,1.43109576
306,1.4514972
307,1.47138978
308,1.4898506900000001
309,1.5066521000000002
310,1.52084592
311,1.5357226400000001
312,1.54662936
313,1.55814807
314,1.5665092500000002
315,1.57332479
316,1.57856941
317,1.58153684
318,1.5816261299999999
319,1.58061692
320,1.57733809
